83.72,Recession of tendon
202.01,"Nodular lymphoma, lymph nodes of head, face, and neck"
362.34,Transient retinal arterial occlusion
375.6,Other changes of lacrimal passages
362.36,Venous tributary (branch) occlusion
36.17,Abdominal-coronary artery bypass
94.0,Psychologic evaluation and testing
14.26,Destruction of chorioretinal lesion by radiation therapy
304.63,"Other specified drug dependence, in remission"
017.8,Tuberculosis of esophagus
616.1,Vaginitis and vulvovaginitis
839.40,"Closed dislocation, vertebra, unspecified site"
839.42,"Closed dislocation, sacrum"
39.9,Other operations on vessels
84.82,Insertion or replacement of pedicle-based dynamic stabilization device(s)
258.1,Other combinations of endocrine dysfunction
V32.0,"Twin, mate stillborn, born in hospital"
60.93,Repair of prostate
62.91,Aspiration of testis
91.45,"Microscopic examination of specimen from female genital tract, toxicology"
059.9,"Poxvirus infections, unspecified"
818,Ill-defined fractures of upper limb
291.89,Other alcohol-induced mental disorders
111.2,Tinea blanca
084,Malaria
719.07,"Effusion of joint, ankle and foot"
V58.76,"Aftercare following surgery of the genitourinary system, NEC"
V58.74,"Aftercare following surgery of the respiratory system, NEC"
E938,Other central nervous system depressants and anesthetics causing adverse effects in therapeutic use
388.02,Transient ischemic deafness
673.3,Obstetrical pyemic and septic embolism
388.00,"Degenerative and vascular disorders, unspecified"
122.5,Echinococcus multilocularis infection of liver
947.0,Burn of mouth and pharynx
E007.9,Other activity involving other sports and athletes played as a team or group
42,Operations on esophagus
582.0,Chronic glomerulonephritis with lesion of proliferative glomerulonephritis
944.12,Erythema [first degree] of thumb (nail)
276.1,Hyposmolality and/or hyponatremia
V66.2,Convalescence following chemotherapy
E826.1,Pedal cycle accident injuring pedal cyclist
333.5,Other choreas
801.26,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
V12.5,Personal history of diseases of circulatory system
84.85,Revision of facet replacement device(s)
078.81,Epidemic vertigo
60.96,Transurethral destruction of prostate tissue by microwave thermotherapy
634.91,"Spontaneous abortion, without mention of complication, incomplete"
291.2,Alcohol-induced persisting dementia
998,"Other complications of procedures, NEC"
344.8,Other specified paralytic syndromes
753.11,Congenital single renal cyst
21.4,Resection of nose
180.1,Malignant neoplasm of exocervix
321.0,Cryptococcal meningitis
02.1,Repair of cerebral meninges
93.13,Resistive exercise
897.7,"Traumatic amputation of leg(s) (complete) (partial), bilateral [any level], complicated"
715.20,"Osteoarthrosis, localized, secondary, site unspecified"
71.22,Incision of Bartholin's gland (cyst)
79.89,Open reduction of dislocation of other specified sites
803.2,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage"
39.66,Percutaneous cardiopulmonary bypass
440.3,Of bypass graft of the extremities
E995.0,Injury due to war operations by unarmed hand-to-hand combat
07.63,"Partial excision of pituitary gland, unspecified approach"
023.0,Brucella melitensis
V29.9,Observation for unspecified suspected conditions
991.1,Frostbite of hand
E828,Accident involving animal being ridden
E860.3,Accidental poisoning by isopropyl alcohol
359.29,Other specified myotonic disorder
245.0,Acute thyroiditis
585.1,"Chronic kidney disease, Stage I"
718.88,"Other joint derangement, not elsewhere classified, other specified sites"
718.86,"Other joint derangement, not elsewhere classified, lower leg"
017.10,"Erythema nodosum with hypersensitivity reaction in tuberculosis, unspecified"
662.3,"Delayed delivery of second twin, triplet, etc."
377.00,"Papilledema, unspecified"
756.79,Other congenital anomalies of abdominal wall
V35.1,"Other multiple birth (three or more), mates all stillborn, born before admission to hospital"
804.29,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified"
017.40,"Tuberculosis of ear, unspecified"
35.24,Open and other replacement of mitral valve
V15.6,"Personal history of poisoning, presenting hazards to health"
01.23,Reopening of craniotomy site
245.3,Chronic fibrous thyroiditis
470-478.99,OTHER DISEASES OF THE UPPER RESPIRATORY TRACT
798.2,"Death occurring in less than 24 hours from onset of symptoms, not otherwise explained"
382.01,Acute suppurative otitis media with spontaneous rupture of eardrum
903.1,Injury to brachial blood vessels
48.71,Suture of laceration of rectum
969.01,Poisoning by monoamine oxidase inhibitors
13.90,"Operation on lens, not elsewhere classified"
758.33,Other microdeletions
47.91,Appendicostomy
053.21,Herpes zoster keratoconjunctivitis
403,Hypertensive chronic kidney disease
310.0,Frontal lobe syndrome
753.9,Unspecified anomaly of urinary system
197.8,Secondary malignant neoplasm of other digestive organs and spleen
01.3,Incision of brain and cerebral meninges
V18.9,Family history of genetic disease carrier
568.9,Unspecified disorder of peritoneum
960.3,Poisoning by erythromycin and other macrolides
59.79,Other repair of urinary stress incontinence
E844.2,Other specified air transport accidents injuring crew of commercial aircraft (powered) in surface to surface transport
E844.0,Other specified air transport accidents injuring occupant of spacecraft
709.8,Other specified disorders of skin
E005,Activities involving dancing and other rhythmic movement
E994.8,Injury due to war operations by other destruction of aircraft
89.35,Transillumination of nasal sinuses
346.20,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus"
234.0,Carcinoma in situ of eye
574.1,Calculus of gallbladder with other cholecystitis
214.2,Lipoma of intrathoracic organs
39.53,Repair of arteriovenous fistula
36.04,Intracoronary artery thrombolytic infusion
55.34,Laparoscopic ablation of renal lesion or tissue
902.32,Injury to inferior mesenteric vein
535.41,"Other specified gastritis, with hemorrhage"
304.93,"Unspecified drug dependence, in remission"
376.81,Orbital cysts
307.9,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
878.5,"Open wound of vulva, complicated"
89.22,Cystometrogram
906.2,Late effect of superficial injury
716.23,"Allergic arthritis, forearm"
926.0,Crushing injury of external genitalia
34.09,Other incision of pleura
371.01,Minor opacity of cornea
80.10,"Other arthrotomy, unspecified site"
V03.82,Other specified vaccinations against streptococcus pneumoniae [pneumococcus]
716.21,"Allergic arthritis, shoulder region"
654.4,Other abnormalities in shape or position of gravid uterus and of neighboring structures
E884.6,Accidental fall from commode
943.35,"Full-thickness skin loss [third degree, not otherwise specified] of shoulder"
369.12,Better eye: severe vision impairment; lesser eye: total vision impairment
908.3,"Late effect of injury to blood vessel of head, neck, and extremities"
943.33,"Full-thickness skin loss [third degree, not otherwise specified] of upper arm"
712.87,"Other specified crystal arthropathies, ankle and foot"
098.3,"Gonococcal infection, chronic, of upper genitourinary tract"
011.11,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
994.5,Exhaustion due to excessive exertion
701,Other hypertrophic and atrophic conditions of skin
48.74,Rectorectostomy
830.0,Closed dislocation of jaw
46.76,Closure of fistula of large intestine
296.90,Unspecified episodic mood disorder
81.59,"Revision of joint replacement of lower extremity, not elsewhere classified"
E861.9,"Accidental poisoning by unspecified cleansing and polishing agents, disinfectants, paints, and varnishes"
665.7,Obstetrical pelvic hematoma
063,Tick-borne viral encephalitis
V04.6,Need for prophylactic vaccination and inoculation against mumps alone
080-088.99,RICKETTSIOSES AND OTHER ARTHROPOD-BORNE DISEASES
201.24,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb"
77.12,"Other incision of bone without division, humerus"
201.26,"Hodgkin's sarcoma, intrapelvic lymph nodes"
087.0,"Relapsing fever, louse-borne"
642.10,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
532.0,Acute duodenal ulcer with hemorrhage
872.1,"Open wound of external ear, complicated"
27,Other operations on mouth and face
E866.7,Accidental poisoning by cosmetics
277.31,Familial Mediterranean fever
794.12,Nonspecific abnormal electro-oculogram [EOG]
91.92,"Microscopic examination of specimen from unspecified site, culture"
794.14,Nonspecific abnormal oculomotor studies
383.89,Other disorders of mastoid
746.82,Cor triatriatum
728.71,Plantar fascial fibromatosis
426.52,Right bundle branch block and left anterior fascicular block
426.50,"Bundle branch block, unspecified"
14.8,Implantation of epiretinal visual prosthesis
E843.8,"Fall in, on, or from aircraft injuring ground crew, airline employee"
034,Streptococcal sore throat and scarlet fever
V61.8,Other specified family circumstances
291.5,Alcohol-induced psychotic disorder with delusions
54.19,Other laparotomy
374.13,Spastic ectropion
374.11,Senile ectropion
245,Thyroiditis
016.33,"Tuberculosis of other urinary organs, tubercle bacilli found (in sputum) by microscopy"
86.99,Other operations on skin and subcutaneous tissue
372.89,Other disorders of conjunctiva
361,Retinal detachments and defects
623.6,Vaginal hematoma
189.9,"Malignant neoplasm of urinary organ, site unspecified"
404.90,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
442.81,Aneurysm of artery of neck
927.21,Crushing injury of wrist
995.68,Anaphylactic reaction due to eggs
906.5,"Late effect of burn of eye, face, head, and neck"
296.02,"Bipolar I disorder, single manic episode, moderate"
011.41,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
34.6,Scarification of pleura
948,Burns classified according to extent of body surface involved
634.9,Spontaneous abortion without mention of complication
800.49,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with concussion, unspecified"
741.02,"Spina bifida with hydrocephalus, dorsal (thoracic) region"
327.00,"Organic insomnia, unspecified"
647.32,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
629.21,Female genital mutilation Type I status
327.02,Insomnia due to mental disorder
336.9,Unspecified disease of spinal cord
78.30,"Limb lengthening procedures, unspecified site"
V72.42,"Pregnancy examination or test, positive result"
19.3,Other operations on ossicular chain
42.31,Local excision of esophageal diverticulum
659.80,"Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable"
172.2,Malignant melanoma of skin of ear and external auditory canal
23.01,Extraction of deciduous tooth
192.0,Malignant neoplasm of cranial nerves
405.11,Benign renovascular hypertension
779.0,Convulsions in newborn
91.95,"Microscopic examination of specimen from unspecified site, toxicology"
39.49,Other revision of vascular procedure
V50.8,Other elective surgery for purposes other than remedying health states
851.84,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre- existing conscious level"
665.00,"Rupture of uterus before onset of labor, unspecified as to episode of care or not applicable"
309.29,Other adjustment reactions with predominant disturbance of other emotions
396.3,Mitral valve insufficiency and aortic valve insufficiency
952.4,Cauda equina spinal cord injury without evidence of spinal bone injury
667.12,"Retained portions of placenta or membranes, without hemorrhage, delivered, with mention of postpartum complication"
895.0,"Traumatic amputation of toe(s) (complete) (partial), without mention of complication"
665.30,"Laceration of cervix, unspecified as to episode of care or not applicable"
760.63,Newborn affected by other surgical operations on mother during pregnancy
760.61,Newborn affected by amniocentesis
305.40,"Sedative, hypnotic or anxiolytic abuse, unspecified"
003.21,Salmonella meningitis
E824.7,Other motor vehicle nontraffic accident while boarding and alighting injuring pedestrian
041.12,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
363.13,"Disseminated choroiditis and chorioretinitis, generalized"
363.11,"Disseminated choroiditis and chorioretinitis, posterior pole"
535.4,Other specified gastritis
722.70,"Intervertebral disc disorder with myelopathy, unspecified region"
35.71,Other and unspecified repair of atrial septal defect
307.52,Pica
091.51,Syphilitic chorioretinitis (secondary)
350,Trigeminal nerve disorders
V17.41,Family history of sudden cardiac death (SCD)
948.87,"Burn [any degree] involving 80-89 percent of body surface with third degree burn, 70-79%"
937,Foreign body in anus and rectum
623.9,Unspecified noninflammatory disorder of vagina
016.63,"Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy"
19.9,Other repair of middle ear
730.02,"Acute osteomyelitis, upper arm"
728.13,Postoperative heterotopic calcification
759.5,Tuberous sclerosis
205.82,"Other myeloid leukemia, in relapse"
96.45,Irrigation of nephrostomy and pyelostomy
V61.42,Substance abuse in family
V43.69,Other joint replacement
46.63,Fixation of large intestine to abdominal wall
161.2,Malignant neoplasm of subglottis
965.09,Poisoning by other opiates and related narcotics
77.15,"Other incision of bone without division, femur"
648.80,"Abnormal glucose tolerance of mother, unspecified as to episode of care or not applicable"
E952.8,Suicide and self-inflicted poisoning by other specified gases and vapors
08.31,Repair of blepharoptosis by frontalis muscle technique with suture
788.36,Nocturnal enuresis
752.34,Bicornuate uterus
E945.2,Skeletal muscle relaxants causing adverse effects in therapeutic use
017.81,"Tuberculosis of esophagus, bacteriological or histological examination not done"
172.5,"Malignant melanoma of skin of trunk, except scrotum"
748.2,Web of larynx
654.00,"Congenital abnormalities of uterus, unspecified as to episode of care or not applicable"
634.20,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, unspecified"
813.05,Closed fracture of head of radius
524.1,Anomalies of relationship of jaw to cranial base
E922.5,Accident caused by paintball gun
55.81,Suture of laceration of kidney
711.40,"Arthropathy associated with other bacterial diseases, site unspecified"
636.32,"Illegally induced abortion, complicated by renal failure, complete"
813.03,Closed Monteggia's fracture
00.68,Intravascular pressure measurement of peripheral arteries
941.4,"Deep necrosis of underlying tissues due to burn [deep third degree] of face, head, and neck without mention of loss of a body part"
634.50,"Spontaneous abortion, complicated by shock, unspecified"
008.45,Intestinal infection due to Clostridium difficile
00.55,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
921.9,Unspecified contusion of eye
058.82,Human herpesvirus 7 infection
84.22,Finger reattachment
717.4,Derangement of lateral meniscus
201.63,"Hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes"
295.0,Simple type schizophrenia
252.8,Other specified disorders of parathyroid gland
737.2,Lordosis (acquired)
07.1,"Diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
746.4,Congenital insufficiency of aortic valve
83.42,Other tenonectomy
E928.7,"Environmental and accidental causes, mechanism or component of firearm and air gun"
969.70,"Poisoning by psychostimulant, unspecified"
733.14,Pathologic fracture of neck of femur
787.29,Other dysphagia
26.4,Repair of salivary gland or duct
839.8,"Closed dislocation, multiple and ill-defined sites"
474.8,Other chronic disease of tonsils and adenoids
634.52,"Spontaneous abortion, complicated by shock, complete"
079.4,Human papillomavirus in conditions classified elsewhere and of unspecified site
126,Ancylostomiasis and necatoriasis
370.24,Photokeratitis
073.0,Ornithosis with pneumonia
296.32,"Major depressive affective disorder, recurrent episode, moderate"
276.52,Hypovolemia
952.00,C1-C4 level with unspecified spinal cord injury
130.4,Pneumonitis due to toxoplasmosis
519.09,Other tracheostomy complications
07.16,Biopsy of thymus
99.0,Transfusion of blood and blood components
176.8,"Kaposi's sarcoma, other specified sites"
719.65,"Other symptoms referable to joint, pelvic region and thigh"
822.1,Open fracture of patella
661.13,"Secondary uterine inertia, antepartum condition or complication"
661.11,"Secondary uterine inertia, delivered, with or without mention of antepartum condition"
388.4,Other abnormal auditory perception
641.33,"Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication"
945.59,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple sites of lower limb(s)"
V85.1,"Body Mass Index between 19-24, adult"
716.62,"Unspecified monoarthritis, upper arm"
999.34,"Acute infection following transfusion, infusion, or injection of blood and blood products"
944.5,"Deep necrosis of underlying tissues due to burn [deep third degree] of wrist(s) and hand(s), with loss of a body part"
910.6,"Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound and without mention of infection"
88.67,Phlebography of other specified sites using contrast material
208.02,"Acute leukemia of unspecified cell type, in relapse"
V87.2,Contact with and (suspected) exposure to other potentially hazardous chemicals
513.1,Abscess of mediastinum
440.0,Atherosclerosis of aorta
780.1,Hallucinations
73.99,Other operations assisting delivery
716.92,"Arthropathy, unspecified, upper arm"
011.80,"Other specified pulmonary tuberculosis, unspecified"
375.3,Acute and unspecified inflammation of lacrimal passages
535.00,"Acute gastritis, without mention of hemorrhage"
14.39,Other repair of retinal tear
48.24,Closed [endoscopic] biopsy of rectum
453,Other venous embolism and thrombosis
717.7,Chondromalacia of patella
373.34,Discoid lupus erythematosus of eyelid
49.42,Injection of hemorrhoids
806.09,Closed fracture of C5-C7 level with other specified spinal cord injury
385.82,Cholesterin granuloma of middle ear and mastoid
97.88,Removal of external immobilization device
388.7,Otalgia
301.51,Chronic factitious illness with physical symptoms
872.11,"Open wound of auricle, ear, complicated"
V43.0,Eye globe replaced by other means
801.84,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
801.82,"Open fracture of base of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
811.1,Open fracture of scapula
200.47,"Mantle cell lymphoma, spleen"
305.70,"Amphetamine or related acting sympathomimetic abuse, unspecified"
26.49,Other repair and plastic operations on salivary gland or duct
516.2,Pulmonary alveolar microlithiasis
805.15,Open fracture of fifth cervical vertebra
377.4,Other disorders of optic nerve
E886.0,"Fall on same level from collision, pushing, or shoving, by or with other person in sports"
365.05,"Open angle with borderline findings, high risk"
660.90,"Unspecified obstructed labor, unspecified as to episode of care or not applicable"
42.5,Intrathoracic anastomosis of esophagus
210.7,Benign neoplasm of nasopharynx
153.3,Malignant neoplasm of sigmoid colon
V01.89,Contact with or exposure to other communicable diseases
39.27,Arteriovenostomy for renal dialysis
97.1,Nonoperative replacement of musculoskeletal and integumentary system appliance
E983.1,"Suffocation by plastic bag, undetermined whether accidentally or purposely inflicted"
V15.08,Allergy to radiographic dye
E942.5,Other vasodilators causing adverse effects in therapeutic use
200.51,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck"
49.39,Other local excision or destruction of lesion or tissue of anus
676.21,"Engorgement of breasts associated with childbirth, delivered, with or without mention of antepartum condition"
943.4,"Deep necrosis of underlying tissues due to burn [deep third degree] of upper limb, except wrist and hand, without mention of loss of a body part"
815.03,Closed fracture of shaft of metacarpal bone(s)
173.72,"Squamous cell carcinoma of skin of lower limb, including hip"
712.9,Unspecified crystal arthropathy
676.23,"Engorgement of breasts associated with childbirth, antepartum condition or complication"
V13.01,Personal history of urinary calculi
526.1,Fissural cysts of jaw
602.1,Congestion or hemorrhage of prostate
383.22,Chronic petrositis
927.09,Crushing injury of multiple sites of upper arm
365.11,Primary open angle glaucoma
E837.1,"Explosion, fire, or burning in watercraft injuring occupant of small boat, powered"
E844.5,Other specified air transport accidents injuring occupant of other powered aircraft
941.46,Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part of scalp [any part]
934.9,"Foreign body in respiratory tree, unspecified"
941.44,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of chin"
614.6,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
790.0,Abnormality of red blood cells
E909.9,Unspecified cataclysmic earth surface movements and eruptions
12.53,Goniotomy with goniopuncture
304.1,"Sedative, hypnotic or anxiolytic dependence"
V90.01,Retained depleted uranium fragments
444.81,Embolism and thrombosis of iliac artery
53.17,"Bilateral inguinal hernia repair with graft or prosthesis, not otherwise specified"
87.02,Other contrast radiogram of brain and skull
636.9,Illegally induced abortion without mention of complication
999.78,Non-ABO incompatibility with delayed hemolytic transfusion reaction
743.00,"Clinical anophthalmos, unspecified"
492.0,Emphysematous bleb
661,Abnormality of forces of labor
V65.49,Other specified counseling
V45.69,Other states following surgery of eye and adnexa
760-779.99,CERTAIN CONDITIONS ORIGINATING IN THE PERINATAL PERIOD
386.50,"Labyrinthine dysfunction, unspecified"
528.2,Oral aphthae
E965.0,Assault by handgun
E965.2,Assault by hunting rifle
965.00,"Poisoning by opium (alkaloids), unspecified"
596.7,Hemorrhage into bladder wall
090.1,"Early congenital syphilis, latent"
89.60,Continuous intra-arterial blood gas monitoring
900.1,Injury to internal jugular vein
53.61,Other open incisional hernia repair with graft or prosthesis
87.62,Upper GI series
787.9,Other symptoms involving digestive system
65.71,Other simple suture of ovary
946.5,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of multiple specified sites"
323.01,Encephalitis and encephalomyelitis in viral diseases classified elsewhere
663.11,"Cord around neck, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
804.03,"Closed fractures involving skull or face with other bones, without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness"
84.13,Disarticulation of ankle
756.53,Osteopoikilosis
231.0,Carcinoma in situ of larynx
756.51,Osteogenesis imperfecta
96.23,Dilation of anal sphincter
478.9,Other and unspecified diseases of upper respiratory tract
944.56,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of back of hand"
388.44,Auditory recruitment
411.89,"Other acute and subacute forms of ischemic heart disease, other"
012.32,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
61.42,Repair of scrotal fistula
567.29,Other suppurative peritonitis
729.90,"Disorders of soft tissue, unspecified"
729.92,Nontraumatic hematoma of soft tissue
04.4,Lysis of adhesions and decompression of cranial and peripheral nerves
52,Operations on pancreas
619.8,Other specified fistulas involving female genital tract
870.3,"Penetrating wound of orbit, without mention of foreign body"
923.9,Contusion of unspecified part of upper limb
49.9,Other operations on anus
594.9,"Calculus of lower urinary tract, unspecified"
254.8,Other specified diseases of thymus gland
E814.2,Motor vehicle traffic accident involving collision with pedestrian injuring motorcyclist
E821.8,Nontraffic accident involving other off-road motor vehicle injuring other specified person
433.81,Occlusion and stenosis of other specified precerebral artery with cerebral infarction
495.1,Bagassosis
95.05,Visual field study
750.13,Fissure of tongue
461.2,Acute ethmoidal sinusitis
569.41,Ulcer of anus and rectum
712.20,"Chondrocalcinosis, due to pyrophosphate crystals, site unspecified"
96.3,"Nonoperative alimentary tract irrigation, cleaning, and local instillation"
157.1,Malignant neoplasm of body of pancreas
410.01,"Acute myocardial infarction of anterolateral wall, initial episode of care"
712.22,"Chondrocalcinosis, due to pyrophosphate crystals, upper arm"
38.31,"Resection of vessel with anastomosis, intracranial vessels"
583.6,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal cortical necrosis"
06.11,Closed [percutaneous] [needle] biopsy of thyroid gland
V90.31,Retained animal quills or spines
650,Normal delivery
18.21,Excision of preauricular sinus
800.72,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness"
800.70,"Open fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness"
074.22,Coxsackie endocarditis
V58.1,Encounter for antineoplastic chemotherapy and immunotherapy
054.42,Dendritic keratitis
824.1,"Fracture of medial malleolus, open"
E855.2,Accidental poisoning by local anesthetics
E855.0,Accidental poisoning by anticonvulsant and anti-parkinsonism drugs
51.96,Percutaneous extraction of common duct stones
379.4,Anomalies of pupillary function
38.91,Arterial catheterization
359.6,Symptomatic inflammatory myopathy in diseases classified elsewhere
366.14,Posterior subcapsular polar senile cataract
670.22,"Puerperal sepsis, delivered, with mention of postpartum complication"
915.7,"Superficial foreign body (splinter) of finger(s), without major open wound, infected"
824.4,"Bimalleolar fracture, closed"
313,Disturbance of emotions specific to childhood and adolescence
V58.4,Other aftercare following surgery
495.4,Malt workers' lung
80.37,"Biopsy of joint structure, ankle"
917.8,"Other and unspecified superficial injury of foot and toes, without mention of infection"
E801,Railway accident involving collision with other object
782.1,Rash and other nonspecific skin eruption
718.90,"Unspecified derangement of joint, site unspecified"
84.00,"Upper limb amputation, not otherwise specified"
799.01,Asphyxia
442.0,Aneurysm of artery of upper extremity
536.49,Other gastrostomy complications
364.04,"Secondary iridocyclitis, noninfectious"
E807.3,Railway accident of unspecified nature injuring pedal cyclist
013.80,"Other specified tuberculosis of central nervous system, unspecified"
E923.2,Accident caused by explosive gases
312.39,Other disorders of impulse control
202.45,"Leukemic reticuloendotheliosis, lymph nodes of inguinal region and lower limb"
20.5,Other excision of middle ear
484.1,Pneumonia in cytomegalic inclusion disease
560.30,"Impaction of intestine, unspecified"
E948.5,Diphtheria vaccine causing adverse effects in therapeutic use
989.81,Toxic effect of asbestos
202.47,"Leukemic reticuloendotheliosis, spleen"
49.99,Other operations on anus
V26.52,Vasectomy status
51.9,Other operations on biliary tract
558.41,Eosinophilic gastroenteritis
58.44,Reanastomosis of urethra
372.22,Contact blepharoconjunctivitis
E982.9,"Poisoning by unspecified gases and vapors, undetermined whether accidentally or purposely inflicted"
803.82,"Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness"
369.17,Better eye: moderate vision impairment; lesser eye: near-total vision impairment
E905.1,Venomous spiders causing poisoning and toxic reactions
212.7,Benign neoplasm of heart
552.8,"Hernia of other specified sites, with obstruction"
923.20,Contusion of hand(s)
657.03,"Polyhydramnios, antepartum condition or complication"
02.35,Ventricular shunt to urinary system
651.60,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), unspecified as to episode of care or not applicable"
V47.1,Mechanical and motor problems with internal organs
813.1,"Fracture of upper end of radius and ulna, open"
345.61,"Infantile spasms, with intractable epilepsy"
904.7,Injury to other specified blood vessels of lower extremity
086,Trypanosomiasis
740.0,Anencephalus
37.76,Replacement of transvenous atrial and/or ventricular lead(s) [electrode]
651.90,"Unspecified multiple gestation, unspecified as to episode of care or not applicable"
V44.50,"Cystostomy, unspecified"
V26.82,Encounter for fertility preservation procedure
789.59,Other ascites
771.1,Congenital cytomegalovirus infection
751.3,Hirschsprung's disease and other congenital functional disorders of colon
79.42,"Closed reduction of separated epiphysis, radius and ulna"
246.9,Unspecified disorder of thyroid
26.11,Closed [needle] biopsy of salivary gland or duct
655.21,"Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition"
673.34,"Obstetrical pyemic and septic embolism, postpartum condition or complication"
655.23,"Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication"
45.41,Excision of lesion or tissue of large intestine
789,Other symptoms involving abdomen and pelvis
204.01,"Acute lymphoid leukemia, in remission"
799.8,Other ill-defined conditions
453.3,Other venous embolism and thrombosis of renal vein
293.89,"Other specified transient mental disorders due to conditions classified elsewhere, other"
375.32,Acute dacryocystitis
038.1,Staphylococcal septicemia
754.71,Talipes cavus
090.4,Juvenile neurosyphilis
V87-V87.99,OTHER SPECIFIED PERSONAL EXPOSURES AND HISTORY PRESENTING HAZARDS TO HEALTH
590.01,Chronic pyelonephritis with lesion of renal medullary necrosis
25.09,Other diagnostic procedures on tongue
44.39,Other gastroenterostomy without gastrectomy
V90.0,Retained radioactive fragment
948.22,"Burn [any degree] involving 20-29 percent of body surface with third degree burn, 20-29%"
793.4,Nonspecific (abnormal) findings on radiological and other examination of gastrointestinal tract
036.0,Meningococcal meningitis
57.89,Other repair of bladder
674.82,"Other complications of puerperium, delivered, with mention of postpartum complication"
674.80,"Other complications of puerperium, unspecified as to episode of care or not applicable"
E807,Railway accident of unspecified nature
84.60,"Insertion of spinal disc prosthesis, not otherwise specified"
036.3,"Waterhouse-Friderichsen syndrome, meningococcal"
60.71,Percutaneous aspiration of seminal vesicle
E929.4,Late effects of accident caused by fire
37.7,"Insertion, revision, replacement, and removal of leads; insertion of temporary pacemaker system; or revision of cardiac device pocket"
778,Conditions involving the integument and temperature regulation of fetus and newborn
360.13,Parasitic endophthalmitis NOS
09.43,Probing of nasolacrimal duct
717.83,Old disruption of anterior cruciate ligament
78.27,"Limb shortening procedures, tibia and fibula"
V90.3,Retained organic fragments
447.70,"Aortic ectasia, unspecified site"
V85.53,"Body Mass Index, pediatric, 85th percentile to less than 95th percentile for age"
803.26,"Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration"
295.43,"Schizophreniform disorder, subchronic with acute exacerbation"
209.23,Malignant carcinoid tumor of the stomach
E002.4,Activities involving underwater diving and snorkeling
001-009.99,INTESTINAL INFECTIOUS DISEASES
80.97,"Other excision of joint, ankle"
71.79,Other repair of vulva and perineum
863.49,"Other injury to colon or rectum, without mention of open wound into cavity"
02.95,Removal of skull tongs or halo traction device
881.20,"Open wound of forearm, with tendon involvement"
04.93,Removal of peripheral neurostimulator lead(s)
015.72,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)"
320-389.99,DISEASES OF THE NERVOUS SYSTEM AND SENSE ORGANS
805.2,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
